Player,Opposition,Ground,Inns,Overs,Wkts
Saeed Ajmal,v South Africa,Abu Dhabi,2,4.0,1
Saeed Ajmal,v India,Mirpur,2,4.0,1
Sohail Tanvir,v Zimbabwe,Harare,2,4.0,1
Imad Wasim,v New Zealand,Auckland,2,4.0,1
Imad Wasim,v West Indies,Dubai (DSC),2,4.0,1
Shadab Khan,v New Zealand,Wellington,2,4.0,1
Hasan Ali,v Australia,Harare,2,2.0,1
Imad Wasim,v Sri Lanka,Lahore,1,4.0,1
Shahid Afridi,v Bangladesh,Karachi,2,4.0,1
Saeed Ajmal,v Australia,Dubai (DSC),1,3.5,1
Mohammad Amir,v Ireland,The Oval,2,4.0,1
Mohammad Hafeez,v South Africa,Abu Dhabi,2,4.0,1
Umar Gul,v South Africa,Colombo (RPS),1,2.0,1
Anwar Ali,v England,Dubai (DSC),1,4.0,1
Mohammad Nawaz (3),v West Indies,Dubai (DSC),2,3.0,1
Mohammad Nawaz (3),v West Indies,Karachi,2,4.0,1
Shadab Khan,v Scotland,Edinburgh,2,4.0,1
Imad Wasim,v South Africa,Centurion,2,4.0,1
Faheem Ashraf,v New Zealand,Hamilton,2,3.2,1
Shaheen Shah Afridi,v South Africa,Centurion,1,4.0,1
Naseem Shah,v Afghanistan,Sharjah,1,4.0,1
Shaheen Shah Afridi,v Netherlands,Perth,1,4.0,1
Naseem Shah,v South Africa,Sydney,2,3.0,1
Imad Wasim,v New Zealand,Lahore,2,3.0,1
Shahid Afridi,v Sri Lanka,King City (NW),1,4.0,1
Shahid Afridi,v Sri Lanka,Lord's,1,4.0,1
Mohammad Hafeez,v Sri Lanka,Abu Dhabi,1,3.0,1
Saeed Ajmal,v England,Dubai (DSC),1,4.0,1
Saeed Ajmal,v Sri Lanka,Hambantota,2,4.0,1
Shahid Afridi,v Bangladesh,Pallekele,1,4.0,1
Shahid Afridi,v Sri Lanka,Dubai (DSC),1,4.0,1
Mohammad Hafeez,v New Zealand,Dubai (DSC),1,2.0,1
Shahid Afridi,v Bangladesh,Mirpur,2,4.0,1
Rumman Raees,v World-XI,Lahore,2,4.0,1
Faheem Ashraf,v Zimbabwe,Rawalpindi,1,4.0,1
Mohammad Wasim (1),v West Indies,Bridgetown,1,2.0,1
Shadab Khan,v Bangladesh,Mirpur,1,4.0,1
Shadab Khan,v England,Melbourne,2,4.0,1
Zaman Khan,v Afghanistan,Sharjah,2,3.4,1
Shahid Afridi,v Sri Lanka,Colombo (RPS),2,4.0,1
Shahid Afridi,v New Zealand,Dubai (DSC),2,3.0,1
Aizaz Cheema,v Zimbabwe,Harare,2,3.0,1
Saeed Ajmal,v Zimbabwe,Harare,2,4.0,1
Anwar Ali,v Zimbabwe,Harare,2,3.0,1
Sohail Tanvir,v South Africa,Dubai (DSC),2,2.0,1
Shahid Afridi,v Bangladesh,Mirpur,2,4.0,1
Imad Wasim,v Sri Lanka,Colombo (RPS),2,3.0,1
Sohail Tanvir,v West Indies,Bridgetown,1,4.0,1
Mohammad Hafeez,v Zimbabwe,Harare,2,4.0,1
Shaheen Shah Afridi,v New Zealand,Sharjah,1,4.0,1
Haris Rauf,v West Indies,Karachi,2,3.0,1
Iftikhar Ahmed,v Sri Lanka,Dubai (DSC),1,3.0,1
Haris Rauf,v Bangladesh,Adelaide,1,4.0,1
Mohammad Amir,v Sri Lanka,Colombo (RPS),2,3.0,1
Sohail Tanvir,v New Zealand,Dubai (DSC),2,4.0,1
Abdul Razzaq,v England,Bridgetown,2,3.0,1
Wahab Riaz,v New Zealand,Hamilton,1,3.0,1
Shahid Afridi,v New Zealand,Hamilton,1,4.0,1
Abdur Rehman,v New Zealand,Christchurch,2,4.0,1
Saeed Ajmal,v Sri Lanka,Abu Dhabi,1,4.0,1
Mohammad Sami,v Sri Lanka,Hambantota,1,2.0,1
Raza Hasan,v India,Colombo (RPS),2,4.0,1
Junaid Khan,v South Africa,Centurion,2,2.0,1
Mohammad Nawaz (3),v Scotland,Edinburgh,2,4.0,1
Usman Shinwari,v Australia,Dubai (DSC),2,4.0,1
Shaheen Shah Afridi,v Bangladesh,Lahore,1,4.0,1
Mohammad Hasnain,v Zimbabwe,Rawalpindi,1,4.0,1
Shadab Khan,v England,Manchester,2,3.0,1
Shadab Khan,v India,Dubai (DSC),1,4.0,1
Shaheen Shah Afridi,v Afghanistan,Dubai (DSC),1,4.0,1
Shadab Khan,v Afghanistan,Dubai (DSC),1,4.0,1
Hasan Ali,v Namibia,Abu Dhabi,2,4.0,1
Shahnawaz Dahani,v New Zealand,Christchurch,1,3.0,1
Zaman Khan,v Afghanistan,Sharjah,2,3.5,1
Sohail Tanvir,v Bangladesh,Karachi,2,3.0,1
Shoaib Malik,v Sri Lanka,King City (NW),1,4.0,1
Shahid Afridi,v Zimbabwe,King City (NW),1,4.0,1
Mohammad Amir,v New Zealand,The Oval,1,3.0,1
Saeed Ajmal,v South Africa,Nottingham,2,4.0,1
Saeed Ajmal,v South Africa,Abu Dhabi,2,3.0,1
Shahid Afridi,v West Indies,Mirpur,1,4.0,1
Umar Gul,v Bangladesh,Mirpur,2,2.0,1
Shoaib Malik,v Zimbabwe,Lahore,1,4.0,1
Mohammad Irfan,v Bangladesh,Mirpur,2,4.0,1
Wahab Riaz,v West Indies,Port of Spain,2,4.0,1
Mohammad Amir,v New Zealand,Mount Maunganui,2,4.0,1
Imad Wasim,v South Africa,Cape Town,1,4.0,1
Shaheen Shah Afridi,v South Africa,Centurion,2,4.0,1
Shaheen Shah Afridi,v Bangladesh,Lahore,1,4.0,1
Shahnawaz Dahani,v West Indies,Karachi,1,4.0,1
Mohammad Nawaz (3),v Afghanistan,Sharjah,1,4.0,1
Haris Rauf,v England,Karachi,2,4.0,1
Naseem Shah,v India,Melbourne,2,4.0,1
Ihsanullah,v Afghanistan,Sharjah,2,3.0,1
Mohammad Hafeez,v Scotland,Durban,2,4.0,1
Shahid Afridi,v New Zealand,Cape Town,1,4.0,1
Umar Gul,v Sri Lanka,King City (NW),2,3.0,1
Saeed Ajmal,v New Zealand,Dubai (DSC),2,4.0,1
Abdul Razzaq,v England,Dubai (DSC),2,4.0,1
Sohail Tanvir,v Zimbabwe,Harare,2,3.0,1
Anwar Ali,v Zimbabwe,Harare,2,2.0,1
Shahid Afridi,v Afghanistan,Sharjah,1,2.0,1
Zulfiqar Babar,v Bangladesh,Mirpur,2,3.0,1
Raza Hasan,v New Zealand,Dubai (DSC),1,4.0,1
Raza Hasan,v New Zealand,Dubai (DSC),1,4.0,1
Sohail Tanvir,v Zimbabwe,Harare,2,4.0,1
Shahid Afridi,v U.A.E.,Mirpur,1,4.0,1
Faheem Ashraf,v Zimbabwe,Harare,1,4.0,1
Imad Wasim,v England,Cardiff,2,4.0,1
Usman Qadir,v Zimbabwe,Rawalpindi,1,3.0,1
Imad Wasim,v New Zealand,Sharjah,1,4.0,1
Shaheen Shah Afridi,v Scotland,Sharjah,2,4.0,1
Shahnawaz Dahani,v Bangladesh,Mirpur,1,3.0,1
Mohammad Nawaz (3),v West Indies,Karachi,2,4.0,1
Shahnawaz Dahani,v Bangladesh,Christchurch,2,4.0,1
Shahid Afridi,v Bangladesh,Cape Town,1,4.0,1
Mohammad Asif,v India,Johannesburg,1,3.0,1
Mohammad Hafeez,v England,Dubai (DSC),1,4.0,1
Aizaz Cheema,v England,Abu Dhabi,1,4.0,1
Sohail Tanvir,v Bangladesh,Pallekele,1,3.0,1
Mohammad Irfan,v India,Bengaluru,1,4.0,1
Bilawal Bhatti,v Afghanistan,Sharjah,1,3.0,1
Hasan Ali,v West Indies,Bridgetown,1,4.0,1
Imad Wasim,v West Indies,Port of Spain,1,4.0,1
Rumman Raees,v West Indies,Port of Spain,1,4.0,1
Mohammad Nawaz (3),v World-XI,Lahore,2,3.0,1
Aamer Yamin,v New Zealand,Mount Maunganui,2,4.0,1
Mohammad Amir,v Zimbabwe,Harare,1,4.0,1
Mohammad Amir,v Australia,Harare,2,4.0,1
Imad Wasim,v New Zealand,Dubai (DSC),1,4.0,1
Mohammad Hasnain,v Zimbabwe,Rawalpindi,1,4.0,1
Mohammad Hasnain,v South Africa,Johannesburg,2,2.0,1
Imad Wasim,v England,Manchester,2,4.0,1
Haris Rauf,v India,Dubai (DSC),1,4.0,1
Haris Rauf,v Namibia,Abu Dhabi,2,4.0,1
Mohammad Nawaz (3),v Bangladesh,Mirpur,1,4.0,1
Mohammad Nawaz (3),v India,Dubai (DSC),1,4.0,1
Shadab Khan,v England,Lahore,2,4.0,1
Imad Wasim,v Afghanistan,Sharjah,2,3.0,1
Naved-ul-Hasan,v England,Bristol,1,4.0,1
Sohail Tanvir,v Sri Lanka,Johannesburg,2,4.0,1
Mohammad Asif,v Bangladesh,Cape Town,1,4.0,1
Shahid Afridi,v Ireland,The Oval,2,4.0,1
Shahid Afridi,v Australia,Birmingham,2,4.0,1
Saeed Ajmal,v Australia,Birmingham,2,4.0,1
Saeed Ajmal,v South Africa,Colombo (RPS),1,4.0,1
Umar Gul,v Sri Lanka,Colombo (RPS),1,3.0,1
Shahid Afridi,v India,Bengaluru,1,3.0,1
Usman Shinwari,v World-XI,Lahore,2,4.0,1
Imad Wasim,v Sri Lanka,Abu Dhabi,1,4.0,1
Mohammad Nawaz (3),v West Indies,Karachi,1,4.0,1
Shadab Khan,v Australia,Harare,2,4.0,1
Usman Shinwari,v Australia,Harare,2,4.0,1
Imad Wasim,v New Zealand,Abu Dhabi,2,4.0,1
Shadab Khan,v New Zealand,Abu Dhabi,2,4.0,1
Wahab Riaz,v Sri Lanka,Lahore,1,4.0,1
Shadab Khan,v Bangladesh,Lahore,1,4.0,1
Mohammad Hasnain,v Zimbabwe,Harare,2,4.0,1
Shadab Khan,v New Zealand,Christchurch,2,4.0,1
Shoaib Malik,v Bangladesh,Karachi,2,3.0,1
Naved-ul-Hasan,v Australia,Melbourne,1,4.0,1
Shahid Afridi,v England,Dubai (DSC),2,4.0,1
Mohammad Irfan,v South Africa,Centurion,2,3.0,1
Zulfiqar Babar,v Afghanistan,Sharjah,1,3.0,1
Sohail Tanvir,v West Indies,Mirpur,1,4.0,1
Zulfiqar Babar,v West Indies,Mirpur,1,4.0,1
Shahid Afridi,v New Zealand,Dubai (DSC),1,4.0,1
Wahab Riaz,v Zimbabwe,Harare,2,4.0,1
Shahid Afridi,v New Zealand,Wellington,1,4.0,1
Imad Wasim,v World-XI,Lahore,2,4.0,1
Rumman Raees,v New Zealand,Auckland,2,3.0,1
Hasan Ali,v New Zealand,Auckland,2,4.0,1
Shaheen Shah Afridi,v South Africa,Johannesburg,1,4.0,1
Imad Wasim,v Sri Lanka,Lahore,1,4.0,1
Mohammad Irfan,v Australia,Canberra,2,4.0,1
Haris Rauf,v Bangladesh,Lahore,1,4.0,1
Mohammad Nawaz (3),v South Africa,Lahore,2,4.0,1
Haris Rauf,v Scotland,Sharjah,2,4.0,1
Mohammad Nawaz (3),v Bangladesh,Mirpur,1,4.0,1
Shadab Khan,v Afghanistan,Sharjah,1,4.0,1
Naseem Shah,v Afghanistan,Sharjah,2,4.0,1
Shadab Khan,v New Zealand,Lahore,2,3.0,1
Mohammad Asif,v Scotland,Durban,2,3.5,1
Mohammad Hafeez,v Bangladesh,Gros Islet,2,3.0,1
Shahid Afridi,v England,Bridgetown,2,4.0,1
Shahid Afridi,v England,Dubai (DSC),1,3.0,1
Shahid Afridi,v Sri Lanka,Colombo (RPS),1,4.0,1
Mohammad Sami,v U.A.E.,Mirpur,1,4.0,1
Shadab Khan,v Zimbabwe,Harare,1,3.0,1
Shadab Khan,v Bangladesh,Lahore,1,3.0,1
Usman Qadir,v Zimbabwe,Harare,1,4.0,1
Mohammad Hasnain,v England,Nottingham,2,4.0,1
Shaheen Shah Afridi,v England,Leeds,1,3.5,1
Hasan Ali,v England,Manchester,2,3.4,1
Shadab Khan,v Sri Lanka,Dubai (DSC),1,4.0,1
Sohail Tanvir,v India,Johannesburg,1,4.0,1
Umar Gul,v Sri Lanka,Lord's,1,4.0,1
Saeed Ajmal,v England,Dubai (DSC),1,4.0,1
Shoaib Akhtar,v Australia,Birmingham,2,4.0,1
Mohammad Hafeez,v New Zealand,Auckland,2,3.0,1
Shahid Afridi,v West Indies,Kingstown,2,3.0,1
Shadab Khan,v Zimbabwe,Harare,2,4.0,1
Haris Rauf,v Zimbabwe,Harare,2,4.0,1
Shadab Khan,v New Zealand,Lahore,2,3.0,1
Mohammad Amir,v South Africa,Nottingham,2,4.0,1
Mohammad Amir,v Sri Lanka,Lord's,1,4.0,1
Sohail Tanvir,v Australia,Dubai (DSC),2,4.0,1
Shahid Afridi,v New Zealand,Pallekele,2,4.0,1
Saeed Ajmal,v South Africa,Cape Town,2,4.0,1
Sohail Tanvir,v New Zealand,Dubai (DSC),1,4.0,1
Shahid Afridi,v Sri Lanka,Colombo (RPS),1,4.0,1
Wahab Riaz,v Sri Lanka,Mirpur,1,4.0,1
Mohammad Irfan,v Bangladesh,Eden Gardens,2,4.0,1
Imad Wasim,v Sri Lanka,Lahore,2,4.0,1
Faheem Ashraf,v Australia,Harare,2,4.0,1
Mohammad Wasim (1),v England,Karachi,2,3.2,1
Shadab Khan,v Bangladesh,Christchurch,2,4.0,1
Shadab Khan,v New Zealand,Christchurch,1,4.0,1
Zaman Khan,v New Zealand,Lahore,2,4.0,1
Shoaib Akhtar,v England,Bristol,1,4.0,1
Yasir Arafat,v Bangladesh,Nairobi (Gym),2,4.0,1
Mohammad Hafeez,v Australia,Johannesburg,1,4.0,1
Shoaib Akhtar,v Sri Lanka,King City (NW),1,4.0,1
Mohammad Amir,v England,The Oval,1,3.0,1
Mohammad Asif,v Australia,Melbourne,1,4.0,1
Aizaz Cheema,v England,Dubai (DSC),1,4.0,1
Mohammad Irfan,v Sri Lanka,Colombo (RPS),1,4.0,1
Mohammad Amir,v New Zealand,Auckland,2,4.0,1
Wahab Riaz,v Sri Lanka,Lahore,1,4.0,1
Umar Gul,v Australia,Dubai (DSC),2,4.0,1
Shoaib Malik,v England,Dubai (DSC),1,3.0,1
Hasan Ali,v West Indies,Dubai (DSC),1,3.0,1
Shaheen Shah Afridi,v Australia,Harare,1,4.0,1
Mohammad Amir,v Australia,Canberra,2,3.3,1
Haris Rauf,v Bangladesh,Lahore,1,4.0,1
Hasan Ali,v West Indies,Providence,2,4.0,1
Mohammad Wasim (1),v West Indies,Providence,2,3.0,1
Haris Rauf,v Bangladesh,Mirpur,1,4.0,1
Mohammad Wasim (1),v England,Lahore,2,4.0,1
Mohammad Hasnain,v England,Lahore,1,4.0,1
Sohail Tanvir,v New Zealand,Pallekele,2,3.0,1
Saeed Ajmal,v Sri Lanka,Colombo (RPS),1,4.0,1
Saeed Ajmal,v Australia,Mirpur,2,4.0,1
Wahab Riaz,v England,Dubai (DSC),1,4.0,1
Hasan Ali,v West Indies,Karachi,2,4.0,1
Faheem Ashraf,v West Indies,Karachi,1,4.0,1
Shadab Khan,v England,Leeds,1,4.0,1
Hasan Ali,v Scotland,Sharjah,2,4.0,1
Mohammad Nawaz (3),v New Zealand,Christchurch,1,4.0,1
Mohammad Asif,v Australia,Johannesburg,1,4.0,1
Iftikhar Anjum,v Sri Lanka,Colombo (RPS),2,4.0,1
Shahid Afridi,v Australia,Gros Islet,2,4.0,1
Raza Hasan,v Australia,Dubai (DSC),1,3.0,1
Shahid Afridi,v India,Colombo (RPS),2,4.0,1
Imad Wasim,v World-XI,Lahore,2,4.0,1
Usman Shinwari,v West Indies,Karachi,1,4.0,1
Hasan Ali,v South Africa,Cape Town,1,4.0,1
Imad Wasim,v Australia,Canberra,2,4.0,1
Mohammad Hasnain,v Afghanistan,Sharjah,1,4.0,1
Usman Qadir,v Sri Lanka,Dubai (DSC),2,4.0,1
Shadab Khan,v New Zealand,Lahore,1,4.0,1
Shahid Afridi,v Australia,Johannesburg,1,4.0,1
Bilawal Bhatti,v South Africa,Johannesburg,1,4.0,1
Umar Gul,v India,Mirpur,2,3.3,1
Anwar Ali,v England,Sharjah,1,4.0,1
Wahab Riaz,v West Indies,Bridgetown,1,4.0,1
Hasan Ali,v West Indies,Port of Spain,2,4.0,1
Mohammad Nawaz (3),v Scotland,Edinburgh,2,4.0,1
Shaheen Shah Afridi,v England,Cardiff,2,4.0,1
Shadab Khan,v Sri Lanka,Lahore,1,4.0,1
Imad Wasim,v England,Manchester,2,4.0,1
Usman Qadir,v England,Manchester,2,4.0,1
Shadab Khan,v Namibia,Abu Dhabi,2,4.0,1
Shaheen Shah Afridi,v Australia,Dubai (DSC),2,4.0,1
Shaheen Shah Afridi,v West Indies,Karachi,2,4.0,1
Haris Rauf,v Australia,Lahore,2,3.1,1
Haris Rauf,v New Zealand,Rawalpindi,1,3.5,1
Umar Gul,v Australia,Birmingham,2,3.4,1
Shoaib Akhtar,v South Africa,Abu Dhabi,2,4.0,1
Sohail Tanvir,v Zimbabwe,Harare,2,4.0,1
Shahid Afridi,v Zimbabwe,Lahore,1,4.0,1
Faheem Ashraf,v South Africa,Cape Town,1,3.0,1
Mohammad Hasnain,v England,Karachi,1,4.0,1
Faheem Ashraf,v South Africa,Lahore,2,3.0,1
Haris Rauf,v South Africa,Johannesburg,1,3.0,1
Faheem Ashraf,v South Africa,Centurion,1,4.0,1
Haris Rauf,v Afghanistan,Dubai (DSC),1,4.0,1
Mohammad Nawaz (3),v Bangladesh,Christchurch,1,3.0,1
Mohammad Sami,v Zimbabwe,Lahore,1,4.0,1
Shadab Khan,v West Indies,Port of Spain,2,3.5,1
Faheem Ashraf,v Australia,Harare,1,4.0,1
Hasan Ali,v Australia,Harare,1,4.0,1
Shadab Khan,v Sri Lanka,Lahore,1,4.0,1
Haris Rauf,v Zimbabwe,Rawalpindi,1,4.0,1
Hasan Ali,v Afghanistan,Dubai (DSC),1,4.0,1
Mohammad Hasnain,v India,Dubai (DSC),1,4.0,1
Haris Rauf,v India,Dubai (DSC),1,4.0,1
Shahnawaz Dahani,v England,Karachi,2,3.2,1
Haris Rauf,v Bangladesh,Christchurch,2,4.0,1
Mohammad Wasim (1),v England,Melbourne,2,4.0,1
Yasir Arafat,v India,Durban,1,4.0,1
Umar Gul,v New Zealand,Pallekele,2,4.0,1
Mohammad Irfan,v West Indies,Kingstown,1,3.0,1
Wahab Riaz,v Bangladesh,Mirpur,2,4.0,1
Hasan Ali,v Sri Lanka,Lahore,2,4.0,1
Shaheen Shah Afridi,v South Africa,Centurion,1,4.0,1
Anwar Ali,v Sri Lanka,Colombo (RPS),1,4.0,1
Sohail Tanvir,v West Indies,Port of Spain,2,3.0,1
Mohammad Nawaz (3),v South Africa,Centurion,1,4.0,1
Naseem Shah,v Sri Lanka,Dubai (DSC),1,4.0,1
Mohammad Nawaz (3),v England,Karachi,1,4.0,1
Shaheen Shah Afridi,v New Zealand,Rawalpindi,1,4.0,1
Rumman Raees,v New Zealand,Mount Maunganui,2,4.0,1
Haris Rauf,v England,Manchester,2,4.0,1
Shoaib Akhtar,v New Zealand,Hamilton,1,4.0,1
Wahab Riaz,v West Indies,Dubai (DSC),2,4.0,1
Hasan Ali,v England,Cardiff,2,4.0,1
Umar Gul,v England,Dubai (DSC),1,4.0,1
Sohail Tanvir,v England,Dubai (DSC),1,4.0,1
Usman Qadir,v South Africa,Lahore,2,4.0,1
Sohail Tanvir,v Sri Lanka,Colombo (RPS),1,4.0,1
Wahab Riaz,v England,Dubai (DSC),1,4.0,1
Wahab Riaz,v West Indies,Port of Spain,1,4.0,1
Sohail Khan,v World-XI,Lahore,2,4.0,1
Haris Rauf,v England,Nottingham,2,4.0,1
Shaheen Shah Afridi,v West Indies,Providence,2,4.0,1
Haris Rauf,v South Africa,Sydney,2,3.0,1
Mohammad Amir,v Scotland,Edinburgh,2,4.0,1
Shaheen Shah Afridi,v South Africa,Johannesburg,1,4.0,1
Naseem Shah,v India,Dubai (DSC),1,4.0,1
Mohammad Hafeez,v Sri Lanka,Johannesburg,2,4.0,1
Saeed Ajmal,v Australia,Gros Islet,2,3.5,1
Mohammad Irfan,v New Zealand,Mohali,1,4.0,1
Imad Wasim,v England,Nottingham,2,4.0,1
Mohammad Hafeez,v Australia,Gros Islet,1,4.0,1
Hasan Ali,v South Africa,Centurion,1,4.0,1
Mohammad Sami,v Australia,Gros Islet,1,4.0,1
Faheem Ashraf,v New Zealand,Mount Maunganui,2,4.0,1
Shoaib Malik,v Australia,Dubai (DSC),1,1.0,0
Mohammad Nawaz (3),v Bangladesh,Mirpur,1,1.0,0
Mohammad Nawaz (3),v South Africa,Sydney,2,1.0,0
Shoaib Malik,v Scotland,Durban,2,1.0,0
Shoaib Malik,v West Indies,Dubai (DSC),2,1.0,0
Iftikhar Ahmed,v Hong Kong,Sharjah,2,1.0,0
Mohammad Nawaz (3),v Sri Lanka,Dubai (DSC),1,1.0,0
Hussain Talat,v Scotland,Edinburgh,2,1.0,0
Hasan Ali,v West Indies,Providence,1,1.0,0
Shoaib Malik,v Sri Lanka,Lord's,1,2.0,0
Shoaib Malik,v South Africa,Nottingham,2,1.0,0
Mohammad Hafeez,v South Africa,Gros Islet,2,1.0,0
Shoaib Malik,v West Indies,Dubai (DSC),1,1.0,0
Iftikhar Ahmed,v New Zealand,Christchurch,1,1.0,0
Imad Wasim,v Afghanistan,Sharjah,2,1.0,0
Shoaib Malik,v Bangladesh,Lahore,1,1.0,0
Khushdil Shah,v South Africa,Lahore,2,1.0,0
Mohammad Wasim (1),v West Indies,Providence,1,0.2,0
Haris Rauf,v Hong Kong,Sharjah,2,1.0,0
Umar Gul,v Kenya,Nairobi (Gym),1,3.0,0
Sohail Khan,v Canada,King City (NW),2,1.0,0
Mohammad Hafeez,v India,Colombo (RPS),2,1.0,0
Asad Ali,v West Indies,Kingstown,2,1.0,0
Mohammad Irfan,v South Africa,Dubai (DSC),2,2.0,0
Shoaib Malik,v Zimbabwe,Harare,2,1.0,0
Faheem Ashraf,v World-XI,Lahore,2,1.0,0
Mohammad Nawaz (3),v World-XI,Lahore,2,1.0,0
Iftikhar Ahmed,v Sri Lanka,Lahore,1,1.0,0
Mohammad Hafeez,v Zimbabwe,Rawalpindi,1,1.0,0
Iftikhar Ahmed,v Bangladesh,Christchurch,1,1.0,0
Shoaib Malik,v New Zealand,The Oval,1,1.0,0
Shoaib Malik,v Sri Lanka,Lord's,1,1.0,0
Yasir Shah,v Zimbabwe,Harare,2,1.0,0
Imad Wasim,v Sri Lanka,Colombo (RPS),1,1.0,0
Mohammad Hafeez,v West Indies,Bridgetown,1,1.0,0
Faheem Ashraf,v New Zealand,Wellington,2,1.0,0
Mohammad Hafeez,v New Zealand,Dubai (DSC),2,2.0,0
Shadab Khan,v West Indies,Bridgetown,1,1.0,0
Shahid Afridi,v Sri Lanka,Hambantota,1,2.0,0
Usman Shinwari,v Sri Lanka,Dubai (DSC),1,1.0,0
Faheem Ashraf,v West Indies,Karachi,2,1.0,0
Mohammad Amir,v Australia,Sydney,2,1.1,0
Shoaib Malik,v Bangladesh,Lahore,1,2.0,0
Mohammad Hafeez,v West Indies,Providence,1,1.0,0
Khushdil Shah,v Australia,Lahore,2,1.0,0
Faheem Ashraf,v New Zealand,Rawalpindi,1,1.0,0
Mohammad Hafeez,v New Zealand,Cape Town,1,1.0,0
Wahab Riaz,v New Zealand,Auckland,2,1.0,0
Shoaib Malik,v England,Dubai (DSC),1,1.0,0
Ahmed Shehzad,v England,Dubai (DSC),1,1.0,0
Rumman Raees,v West Indies,Abu Dhabi,1,3.0,0
Usman Shinwari,v World-XI,Lahore,2,1.0,0
Shaheen Shah Afridi,v England,Manchester,1,2.0,0
Imad Wasim,v India,Dubai (DSC),1,2.0,0
Iftikhar Ahmed,v New Zealand,Lahore,2,2.0,0
Shoaib Malik,v Ireland,The Oval,2,1.0,0
Mohammad Hafeez,v New Zealand,Bridgetown,1,3.0,0
Wahab Riaz,v England,Cardiff,2,2.0,0
Sohail Tanvir,v Bangladesh,Mirpur,2,2.0,0
Mohammad Hafeez,v Sri Lanka,Hambantota,2,1.0,0
Yasir Arafat,v India,Colombo (RPS),2,1.0,0
Umar Gul,v Australia,Colombo (RPS),2,2.0,0
Sohail Tanvir,v Sri Lanka,Colombo (RPS),1,3.0,0
Mohammad Hafeez,v India,Ahmedabad,1,1.0,0
Shoaib Malik,v West Indies,Abu Dhabi,1,2.0,0
Shoaib Malik,v West Indies,Port of Spain,2,1.0,0
Faheem Ashraf,v West Indies,Karachi,2,2.0,0
Hussain Talat,v Zimbabwe,Harare,2,1.0,0
Usman Qadir,v West Indies,Providence,2,1.0,0
Mohammad Wasim (1),v West Indies,Providence,1,1.0,0
Mohammad Hafeez,v Namibia,Abu Dhabi,2,1.0,0
Mohammad Nawaz (3),v Netherlands,Perth,1,2.0,0
Mohammad Nawaz (3),v Afghanistan,Sharjah,2,1.0,0
Mohammad Hafeez,v England,Bridgetown,2,1.0,0
Abdul Razzaq,v Australia,Dubai (DSC),1,2.0,0
Yasir Arafat,v New Zealand,Pallekele,2,1.0,0
Raza Hasan,v South Africa,Colombo (RPS),1,3.0,0
Mohammad Hafeez,v India,Bengaluru,1,2.0,0
Saeed Ajmal,v South Africa,Dubai (DSC),2,4.0,0
Mohammad Irfan,v South Africa,Dubai (DSC),1,1.4,0
Shoaib Malik,v South Africa,Dubai (DSC),1,1.2,0
Saad Nasim,v Australia,Dubai (DSC),2,1.0,0
Sohaib Maqsood,v Australia,Dubai (DSC),2,1.0,0
Shoaib Malik,v Zimbabwe,Harare,1,1.0,0
Shoaib Malik,v South Africa,Cape Town,1,1.0,0
Fakhar Zaman,v South Africa,Johannesburg,1,1.0,0
Imad Wasim,v Australia,Perth,2,1.0,0
Iftikhar Ahmed,v Bangladesh,Lahore,1,1.0,0
Mohammad Hafeez,v India,Dubai (DSC),1,2.0,0
Mohammad Nawaz (3),v England,Lahore,1,1.0,0
Faheem Ashraf,v New Zealand,Lahore,1,2.0,0
Sohail Tanvir,v Sri Lanka,King City (NW),2,2.0,0
Shoaib Malik,v England,The Oval,1,1.0,0
Sohail Tanvir,v Netherlands,Lord's,2,3.0,0
Umar Gul,v New Zealand,Dubai (DSC),2,2.0,0
Mohammad Hafeez,v Afghanistan,Sharjah,1,4.0,0
Anwar Ali,v New Zealand,Dubai (DSC),1,2.0,0
Shoaib Malik,v New Zealand,Hamilton,2,1.4,0
Shoaib Malik,v U.A.E.,Mirpur,1,1.0,0
Mohammad Amir,v New Zealand,Wellington,2,3.0,0
Mohammad Hafeez,v New Zealand,Abu Dhabi,2,3.0,0
Mohammad Hafeez,v Zimbabwe,Harare,2,2.0,0
Mohammad Hafeez,v Australia,Dubai (DSC),2,1.0,0
Iftikhar Ahmed,v Bangladesh,Mirpur,1,4.0,0
Iftikhar Ahmed,v England,Melbourne,2,0.5,0
Yasir Arafat,v Scotland,Durban,2,3.0,0
Saeed Ajmal,v New Zealand,Auckland,2,3.1,0
Abdul Razzaq,v South Africa,Dubai (DSC),1,1.0,0
Mohammad Hafeez,v India,Mirpur,2,3.0,0
Mohammad Hafeez,v Bangladesh,Mirpur,2,1.0,0
Imad Wasim,v Zimbabwe,Lahore,1,2.0,0
Shoaib Malik,v Bangladesh,Eden Gardens,2,2.0,0
Mohammad Nawaz (3),v New Zealand,Wellington,2,1.0,0
Faheem Ashraf,v Australia,Dubai (DSC),2,3.0,0
Hussain Talat,v South Africa,Cape Town,1,1.0,0
Mohammad Amir,v England,Manchester,1,2.1,0
Imad Wasim,v New Zealand,Auckland,2,2.0,0
Iftikhar Ahmed,v South Africa,Lahore,2,1.2,0
Faheem Ashraf,v South Africa,Johannesburg,2,1.0,0
Mohammad Hafeez,v West Indies,Providence,1,1.0,0
Iftikhar Ahmed,v New Zealand,Christchurch,2,1.0,0
